city;age;question1;question2;question3;question4;question5;question6;question7;question8;question9;question10
Барнаул;21;Мультифора;Корректор;Маршрутка;Фрукт;Бичпакет;Кричать;Фотать;Ватрушки;Вредина;Виктория
Барнаул;21;Мультифора;Корректор;Маршрутка;Фрукт;Бичпакет;Кричать;Фотать;Ватрушки;Вредина;Виктория
Омск;21;Файл;Штрих;Маршрутка;Фрукт;Чойс;Смеяться;Фоткать;Ватрушки;Инструмент;Клубника
Новосибирск;21;Мультифора;Корректор;Микроавтобус;Фрукт;Бичпакет;Кричать;Фотать;Ватрушки;Вредина;Клубника
Омск;20;Файл;Штрих;Маршрутка;Шутка;Чойс;Смеяться;Фоткать;Ватрушки;Инструмент;Виктория
Новосибирск;21;Мультифора;Корректор;Микроавтобус;Фрукт;Бичпакет;Кричать;Фотать;Ватрушки;Инструмент;Виктория
Барнаул;21;Мультифора;Корректор;Маршрутка;Фрукт;Бичпакет;Кричать;Фоткать;Ватрушки;Вредина;Виктория
Омск;20;Файл;Штрих;Маршрутка;Фрукт;Чойс;Смеяться;Фотать;Ватрушки;Инструмент;Клубника
Омск;20;Файл;Штрих;Микроавтобус;Шутка;Чойс;Смеяться;Фоткать;Ватрушки;Инструмент;Клубника
Новосибирск;21;Мультифора;Корректор;Микроавтобус;Фрукт;Бичпакет;Кричать;Фотать;Ватрушки;Инструмент;Виктория
Барнаул;21;Мультифора;Корректор;Микроавтобус;Фрукт;Бичпакет;Кричать;Фотать;Ватрушки;Вредина;Клубника
Новосибирск;21;Мультифора;Корректор;Микроавтобус;Фрукт;Бичпакет;Кричать;Фоткать;Ватрушки;Инструмент;Клубника
Новосибирск;21;Мультифора;Корректор;Маршрутка;Шутка;Бичпакет;Смеяться;Фоткать;Ватрушки;Вредина;Виктория
Омск;21;Файл;Штрих;Маршрутка;Фрукт;Чойс;Кричать;Фоткать;Ватрушки;Инструмент;Клубника
Омск;21;Файл;Штрих;Маршрутка;Фрукт;Чойс;Смеяться;Фоткать;Ватрушки;Инструмент;Клубника
Новосибирск;21;Файл;Штрих;Маршрутка;Фрукт;Бичпакет;Кричать;Фотать;Ватрушки;Вредина;Клубника
Новосибирск;20;Файл;Штрих;Микроавтобус;Фрукт;Бичпакет;Кричать;Фоткать;Ватрушки;Инструмент;Клубника
Новосибирск;21;Мультифора;Корректор;Микроавтобус;Фрукт;Чойс;Кричать;Фоткать;Шанежки;Инструмент;Клубника
Барнаул;21;Мультифора;Корректор;Маршрутка;Фрукт;Бичпакет;Кричать;Фоткать;Ватрушки;Вредина;Виктория
Барнаул;22;Мультифора;Корректор;Маршрутка;Фрукт;Бичпакет;Кричать;Фоткать;Ватрушки;Вредина;Клубника
Барнаул;21;Мультифора;Корректор;Маршрутка;Фрукт;Бичпакет;Кричать;Фотать;Ватрушки;Вредина;Виктория
Барнаул;21;Файл;Корректор;Микроавтобус;Фрукт;Бичпакет;Кричать;Фотать;Ватрушки;Вредина;Клубника
Омск;21;Файл;Штрих;Микроавтобус;Шутка;Чойс;Смеяться;Фотать;Шанежки;Инструмент;Клубника
Омск;20;Файл;Штрих;Маршрутка;Шутка;Чойс;Кричать;Фотать;Ватрушки;Инструмент;Клубника
Омск;20;Файл;Штрих;Микроавтобус;Шутка;Чойс;Смеяться;Фотать;Шанежки;Инструмент;Клубника
Омск;22;Файл;Штрих;Микроавтобус;Шутка;Чойс;Кричать;Фоткать;Ватрушки;Инструмент;Клубника
Новосибирск;21;Мультифора;Штрих;Маршрутка;Фрукт;Бичпакет;Кричать;Фоткать;Ватрушки;Инструмент;Виктория
Барнаул;20;Мультифора;Корректор;Маршрутка;Фрукт;Бичпакет;Кричать;Фоткать;Ватрушки;Вредина;Виктория
Новосибирск;20;Мультифора;Штрих;Маршрутка;Фрукт;Бичпакет;Кричать;Фотать;Ватрушки;Инструмент;Клубника
Барнаул;22;Мультифора;Корректор;Маршрутка;Фрукт;Бичпакет;Кричать;Фотать;Шанежки;Вредина;Виктория
Омск;21;Файл;Штрих;Маршрутка;Фрукт;Чойс;Смеяться;Фоткать;Ватрушки;Инструмент;Клубника
Омск;20;Файл;Штрих;Микроавтобус;Фрукт;Чойс;Смеяться;Фотать;Ватрушки;Инструмент;Клубника
Новосибирск;23;Мультифора;Корректор;Микроавтобус;Фрукт;Бичпакет;Кричать;Фоткать;Ватрушки;Инструмент;Клубника
Барнаул;21;Мультифора;Корректор;Маршрутка;Фрукт;Бичпакет;Кричать;Фотать;Ватрушки;Вредина;Виктория
Барнаул;21;Мультифора;Корректор;Маршрутка;Фрукт;Бичпакет;Кричать;Фотать;Шанежки;Вредина;Виктория
Новосибирск;23;Мультифора;Корректор;Микроавтобус;Фрукт;Бичпакет;Кричать;Фотать;Ватрушки;Инструмент;Виктория
Барнаул;22;Мультифора;Корректор;Маршрутка;Фрукт;Бичпакет;Кричать;Фотать;Ватрушки;Вредина;Виктория
Барнаул;21;Мультифора;Корректор;Маршрутка;Фрукт;Бичпакет;Кричать;Фотать;Ватрушки;Вредина;Виктория
Омск;23;Файл;Штрих;Маршрутка;Фрукт;Чойс;Смеяться;Фоткать;Ватрушки;Инструмент;Клубника
Новосибирск;21;Мультифора;Корректор;Микроавтобус;Фрукт;Бичпакет;Кричать;Фотать;Ватрушки;Вредина;Клубника
Новосибирск;24;Файл;Штрих;Маршрутка;Фрукт;Бичпакет;Кричать;Фотать;Ватрушки;Вредина;Клубника
Новосибирск;23;Файл;Штрих;Микроавтобус;Фрукт;Бичпакет;Кричать;Фоткать;Ватрушки;Инструмент;Клубника
Новосибирск;21;Мультифора;Корректор;Микроавтобус;Фрукт;Бичпакет;Кричать;Фоткать;Шанежки;Инструмент;Клубника
Омск;21;Файл;Штрих;Микроавтобус;Шутка;Чойс;Смеяться;Фотать;Шанежки;Инструмент;Клубника
Омск;20;Файл;Штрих;Маршрутка;Шутка;Чойс;Кричать;Фотать;Ватрушки;Инструмент;Клубника
